CustomerID,CustomerName,CustomerAddress,CustomerGSTIN,ContactNumber,EmailAddress
72760660-75d8-41d1-9a73-aa1708718b19,CustomerName-7276066,CustomerAddress-7276066,erGSTIN-7276066,tNumber-7276066,EmailAddress-7276066
72760676-0a05-4db1-8871-f104b29f7cbe,CustomerName-7276067,CustomerAddress-7276067,erGSTIN-7276067,tNumber-7276067,EmailAddress-7276067
72760684-265b-4c31-923f-9105e99eee0f,CustomerName-7276068,CustomerAddress-7276068,erGSTIN-7276068,tNumber-7276068,EmailAddress-7276068
7276069b-2eb5-4779-b88c-32b7a73a157b,CustomerName-7276069,CustomerAddress-7276069,erGSTIN-7276069,tNumber-7276069,EmailAddress-7276069
72760704-f2bd-45b6-afc5-08e135758280,CustomerName-7276070,CustomerAddress-7276070,erGSTIN-7276070,tNumber-7276070,EmailAddress-7276070
72760716-bcf6-4ec0-8ca8-03ad8f74a3ea,CustomerName-7276071,CustomerAddress-7276071,erGSTIN-7276071,tNumber-7276071,EmailAddress-7276071
72760723-7c07-44a2-bd1e-f0c9ccc46120,CustomerName-7276072,CustomerAddress-7276072,erGSTIN-7276072,tNumber-7276072,EmailAddress-7276072
72760735-3452-4e37-b7a7-8132ee3cbd10,CustomerName-7276073,CustomerAddress-7276073,erGSTIN-7276073,tNumber-7276073,EmailAddress-7276073
72760743-840a-4db0-a08d-f8f19f923007,CustomerName-7276074,CustomerAddress-7276074,erGSTIN-7276074,tNumber-7276074,EmailAddress-7276074
72760753-41dc-4bb6-89cc-4d8f86cf695e,CustomerName-7276075,CustomerAddress-7276075,erGSTIN-7276075,tNumber-7276075,EmailAddress-7276075
